instant,Date,season,yr,mnth,holiday,weekday,workingday,weathersit,temp(°C),atemp(°C),humidity(%),windspeed,Casual,Member,Total_rides,Weekday,Season
100,2011-04-10,2,0,4,False,6,False,2,12.1,12.2,85.8,15.8,1188,1707,2895,Sunday,Spring
101,2011-04-11,2,0,4,False,0,True,2,20.0,21.3,71.7,35.0,855,2493,3348,Monday,Spring
102,2011-04-12,2,0,4,False,1,True,2,15.6,16.5,73.9,29.6,257,1777,2034,Tuesday,Spring
103,2011-04-13,2,0,4,False,2,True,2,11.4,11.5,81.9,27.0,209,1953,2162,Wednesday,Spring
104,2011-04-14,2,0,4,False,3,True,1,14.0,14.5,54.0,11.9,529,2738,3267,Thursday,Spring
105,2011-04-15,2,0,4,True,4,False,1,13.0,13.2,67.1,24.4,642,2484,3126,Friday,Spring
106,2011-04-16,2,0,4,False,5,False,3,12.2,12.1,88.8,36.7,121,674,795,Saturday,Spring
107,2011-04-17,2,0,4,False,6,False,1,13.5,13.4,48.0,32.7,1558,2186,3744,Sunday,Spring
108,2011-04-18,2,0,4,False,0,True,1,16.1,17.2,54.2,17.6,669,2760,3429,Monday,Spring
109,2011-04-19,2,0,4,False,1,True,2,15.8,16.3,66.6,17.0,409,2795,3204,Tuesday,Spring
110,2011-04-20,2,0,4,False,2,True,1,20.0,21.2,61.4,26.1,613,3331,3944,Wednesday,Spring
111,2011-04-21,2,0,4,False,3,True,1,13.6,14.0,40.7,35.1,745,3444,4189,Thursday,Spring
112,2011-04-22,2,0,4,False,4,True,2,7.8,5.2,73.0,23.7,177,1506,1683,Friday,Spring
113,2011-04-23,2,0,4,False,5,False,2,13.6,13.7,88.8,24.9,1462,2574,4036,Saturday,Spring
114,2011-04-24,2,0,4,False,6,False,2,19.3,20.4,81.1,20.7,1710,2481,4191,Sunday,Spring
115,2011-04-25,2,0,4,False,0,True,1,20.5,21.9,77.7,20.0,773,3300,4073,Monday,Spring
116,2011-04-26,2,0,4,False,1,True,1,21.7,23.2,72.9,35.2,678,3722,4400,Tuesday,Spring
117,2011-04-27,2,0,4,False,2,True,2,21.1,22.0,83.5,33.7,547,3325,3872,Wednesday,Spring
118,2011-04-28,2,0,4,False,3,True,2,21.0,22.2,70.1,34.6,569,3489,4058,Thursday,Spring
119,2011-04-29,2,0,4,False,4,True,1,16.0,16.8,45.7,25.9,878,3717,4595,Friday,Spring
120,2011-04-30,2,0,4,False,5,False,1,14.2,14.6,50.3,25.3,1965,3347,5312,Saturday,Spring
121,2011-05-01,2,0,5,False,6,False,2,13.2,13.6,76.2,11.5,1138,2213,3351,Sunday,Spring
122,2011-05-02,2,0,5,False,0,True,2,17.8,19.2,73.0,19.8,847,3554,4401,Monday,Spring
123,2011-05-03,2,0,5,False,1,True,2,21.0,22.4,69.7,36.9,603,3848,4451,Tuesday,Spring
124,2011-05-04,2,0,5,False,2,True,2,11.5,10.7,73.7,35.5,255,2378,2633,Wednesday,Spring
125,2011-05-05,2,0,5,False,3,True,1,13.6,13.2,44.4,31.9,614,3819,4433,Thursday,Spring
126,2011-05-06,2,0,5,False,4,True,1,14.5,15.3,59.0,24.6,894,3714,4608,Friday,Spring
127,2011-05-07,2,0,5,False,5,False,1,16.4,17.8,54.1,17.3,1612,3102,4714,Saturday,Spring
128,2011-05-08,2,0,5,False,6,False,1,16.8,18.2,63.2,8.0,1401,2932,4333,Sunday,Spring
129,2011-05-09,2,0,5,False,0,True,1,17.0,18.7,58.9,19.0,664,3698,4362,Monday,Spring
130,2011-05-10,2,0,5,False,1,True,1,17.0,18.5,48.9,12.5,694,4109,4803,Tuesday,Spring
131,2011-05-11,2,0,5,False,2,True,1,17.5,18.9,63.3,13.0,550,3632,4182,Wednesday,Spring
132,2011-05-12,2,0,5,False,3,True,1,17.1,18.5,74.8,20.5,695,4169,4864,Thursday,Spring
133,2011-05-13,2,0,5,False,4,True,2,16.1,16.6,86.3,19.4,692,3413,4105,Friday,Spring
134,2011-05-14,2,0,5,False,5,False,2,16.5,17.0,92.2,14.6,902,2507,3409,Saturday,Spring
135,2011-05-15,2,0,5,False,6,False,2,18.4,19.4,86.7,16.5,1582,2971,4553,Sunday,Spring
136,2011-05-16,2,0,5,False,0,True,1,19.1,20.3,78.8,13.7,773,3185,3958,Monday,Spring
137,2011-05-17,2,0,5,False,1,True,2,18.4,19.5,83.8,29.9,678,3445,4123,Tuesday,Spring
138,2011-05-18,2,0,5,False,2,True,2,17.8,18.8,87.0,21.7,536,3319,3855,Wednesday,Spring
139,2011-05-19,2,0,5,False,3,True,2,16.9,17.7,83.0,11.7,735,3840,4575,Thursday,Spring
140,2011-05-20,2,0,5,False,4,True,1,17.2,18.9,72.0,13.5,909,4008,4917,Friday,Spring
141,2011-05-21,2,0,5,False,5,False,1,20.3,21.8,62.7,13.0,2258,3547,5805,Saturday,Spring
142,2011-05-22,2,0,5,False,6,False,1,20.4,21.9,75.0,16.0,1576,3084,4660,Sunday,Spring
143,2011-05-23,2,0,5,False,0,True,2,21.7,23.0,81.0,25.2,836,3438,4274,Monday,Spring
144,2011-05-24,2,0,5,False,1,True,2,23.0,23.9,74.1,22.3,659,3833,4492,Tuesday,Spring
145,2011-05-25,2,0,5,False,2,True,1,23.1,24.6,69.6,16.6,740,4238,4978,Wednesday,Spring
146,2011-05-26,2,0,5,False,3,True,1,25.3,27.2,67.8,21.5,758,3919,4677,Thursday,Spring
147,2011-05-27,2,0,5,False,4,True,1,24.0,26.0,65.4,26.0,871,3808,4679,Friday,Spring
148,2011-05-28,2,0,5,False,5,False,1,22.8,24.4,73.0,24.8,2001,2757,4758,Saturday,Spring
149,2011-05-29,2,0,5,False,6,False,1,23.4,24.6,81.9,23.1,2355,2433,4788,Sunday,Spring
150,2011-05-30,2,0,5,True,0,False,1,26.5,28.3,68.5,14.1,1549,2549,4098,Monday,Spring
151,2011-05-31,2,0,5,False,1,True,1,28.4,31.9,63.7,12.0,673,3309,3982,Tuesday,Spring
152,2011-06-01,2,0,6,False,2,True,2,27.9,31.6,67.7,22.3,513,3461,3974,Wednesday,Spring
153,2011-06-02,2,0,6,False,3,True,1,25.6,26.5,30.5,31.5,736,4232,4968,Thursday,Spring
154,2011-06-03,2,0,6,False,4,True,1,21.1,22.8,35.4,27.3,898,4414,5312,Friday,Spring
155,2011-06-04,2,0,6,False,5,False,1,21.8,23.2,45.6,13.3,1869,3473,5342,Saturday,Spring
156,2011-06-05,2,0,6,False,6,False,2,22.5,24.7,65.2,15.0,1685,3221,4906,Sunday,Spring
157,2011-06-06,2,0,6,False,0,True,1,23.9,25.0,60.0,13.1,673,3875,4548,Monday,Spring
158,2011-06-07,2,0,6,False,1,True,1,25.3,27.3,59.8,20.3,763,4070,4833,Tuesday,Spring
159,2011-06-08,2,0,6,False,2,True,1,28.5,32.0,62.2,14.8,676,3725,4401,Wednesday,Spring
160,2011-06-09,2,0,6,False,3,True,2,30.0,34.0,56.8,16.2,563,3352,3915,Thursday,Spring
161,2011-06-10,2,0,6,False,4,True,1,27.5,30.4,60.5,15.2,815,3771,4586,Friday,Spring
162,2011-06-11,2,0,6,False,5,False,1,26.1,28.8,65.5,16.7,1729,3237,4966,Saturday,Spring
163,2011-06-12,2,0,6,False,6,False,1,24.5,26.5,74.8,17.6,1467,2993,4460,Sunday,Spring
164,2011-06-13,2,0,6,False,0,True,1,21.8,23.7,49.5,32.9,863,4157,5020,Monday,Spring
165,2011-06-14,2,0,6,False,1,True,1,20.4,23.0,50.7,29.0,727,4164,4891,Tuesday,Spring
166,2011-06-15,2,0,6,False,2,True,1,21.5,22.8,47.2,18.1,769,4411,5180,Wednesday,Spring
167,2011-06-16,2,0,6,False,3,True,2,21.5,23.3,68.8,22.3,545,3222,3767,Thursday,Spring
168,2011-06-17,2,0,6,False,4,True,1,22.5,23.6,73.6,15.4,863,3981,4844,Friday,Spring
169,2011-06-18,2,0,6,False,5,False,1,24.7,26.5,67.0,12.9,1807,3312,5119,Saturday,Spring
170,2011-06-19,2,0,6,False,6,False,2,24.9,26.6,66.7,11.0,1639,3105,4744,Sunday,Spring
171,2011-06-20,2,0,6,False,0,True,2,21.8,23.3,74.6,16.8,699,3311,4010,Monday,Spring
172,2011-06-21,3,0,6,False,1,True,2,24.0,26.1,77.0,18.4,774,4061,4835,Tuesday,Summer
173,2011-06-22,3,0,6,False,2,True,1,26.5,29.8,70.8,18.6,661,3846,4507,Wednesday,Summer
174,2011-06-23,3,0,6,False,3,True,2,26.2,29.8,70.3,25.7,746,4044,4790,Thursday,Summer
175,2011-06-24,3,0,6,False,4,True,1,26.0,27.3,57.3,23.9,969,4022,4991,Friday,Summer
176,2011-06-25,3,0,6,False,5,False,1,24.7,26.5,48.3,22.6,1782,3420,5202,Saturday,Summer
177,2011-06-26,3,0,6,False,6,False,1,24.0,26.1,51.3,10.2,1920,3385,5305,Sunday,Summer
178,2011-06-27,3,0,6,False,0,True,2,24.1,26.0,65.8,11.6,854,3854,4708,Monday,Summer
179,2011-06-28,3,0,6,False,1,True,1,27.0,29.7,63.4,15.6,732,3916,4648,Tuesday,Summer
180,2011-06-29,3,0,6,False,2,True,1,26.2,27.2,49.8,28.2,848,4377,5225,Wednesday,Summer
181,2011-06-30,3,0,6,False,3,True,1,24.7,26.0,43.4,20.0,1027,4488,5515,Thursday,Summer
182,2011-07-01,3,0,7,False,4,True,1,26.0,27.0,39.6,11.1,1246,4116,5362,Friday,Summer
183,2011-07-02,3,0,7,False,5,False,1,26.7,28.0,44.5,12.4,2204,2915,5119,Saturday,Summer
184,2011-07-03,3,0,7,False,6,False,2,25.7,28.1,68.2,24.7,2282,2367,4649,Sunday,Summer
185,2011-07-04,3,0,7,True,0,False,2,26.2,27.9,63.8,8.8,3065,2978,6043,Monday,Summer
186,2011-07-05,3,0,7,False,1,True,1,27.1,30.0,59.0,13.6,1031,3634,4665,Tuesday,Summer
187,2011-07-06,3,0,7,False,2,True,1,25.8,29.3,74.3,16.2,784,3845,4629,Wednesday,Summer
188,2011-07-07,3,0,7,False,3,True,1,27.2,29.3,65.1,17.2,754,3838,4592,Thursday,Summer
189,2011-07-08,3,0,7,False,4,True,2,25.3,28.3,75.8,24.3,692,3348,4040,Friday,Summer
190,2011-07-09,3,0,7,False,5,False,1,26.5,27.8,60.9,18.1,1988,3348,5336,Saturday,Summer
191,2011-07-10,3,0,7,False,6,False,1,27.1,29.5,57.8,19.8,1743,3138,4881,Sunday,Summer
192,2011-07-11,3,0,7,False,0,True,1,27.8,32.2,63.6,30.4,723,3363,4086,Monday,Summer
193,2011-07-12,3,0,7,False,1,True,1,29.3,32.8,55.9,21.6,662,3596,4258,Tuesday,Summer
194,2011-07-13,3,0,7,False,2,True,1,27.1,29.5,63.2,15.8,748,3594,4342,Wednesday,Summer
195,2011-07-14,3,0,7,False,3,True,1,24.0,25.9,47.6,26.0,888,4196,5084,Thursday,Summer
196,2011-07-15,3,0,7,False,4,True,1,23.2,25.2,59.1,19.7,1318,4220,5538,Friday,Summer
197,2011-07-16,3,0,7,False,5,False,1,24.3,26.1,58.5,22.5,2418,3505,5923,Saturday,Summer
198,2011-07-17,3,0,7,False,6,False,1,25.8,28.2,60.4,26.4,2006,3296,5302,Sunday,Summer
199,2011-07-18,3,0,7,False,0,True,1,27.1,30.5,65.1,23.3,841,3617,4458,Monday,Summer
200,2011-07-19,3,0,7,False,1,True,1,28.5,33.3,65.0,14.1,752,3789,4541,Tuesday,Summer
201,2011-07-20,3,0,7,False,2,True,1,28.1,33.3,70.7,12.3,644,3688,4332,Wednesday,Summer
202,2011-07-21,3,0,7,False,3,True,2,30.3,38.5,69.1,23.9,632,3152,3784,Thursday,Summer
203,2011-07-22,3,0,7,False,4,True,1,31.9,39.5,58.0,14.4,562,2825,3387,Friday,Summer
204,2011-07-23,3,0,7,False,5,False,1,31.9,37.1,50.0,14.1,987,2298,3285,Saturday,Summer
205,2011-07-24,3,0,7,False,6,False,1,31.0,36.5,55.1,18.2,1050,2556,3606,Sunday,Summer
206,2011-07-25,3,0,7,False,0,True,1,26.9,31.6,75.7,9.8,568,3272,3840,Monday,Summer
207,2011-07-26,3,0,7,False,1,True,1,28.3,30.0,54.1,21.6,750,3840,4590,Tuesday,Summer
208,2011-07-27,3,0,7,False,2,True,1,28.4,29.6,40.3,19.8,755,3901,4656,Wednesday,Summer
209,2011-07-28,3,0,7,False,3,True,1,28.6,32.8,58.3,19.2,606,3784,4390,Thursday,Summer
210,2011-07-29,3,0,7,False,4,True,1,31.4,35.9,54.2,18.8,670,3176,3846,Friday,Summer
211,2011-07-30,3,0,7,False,5,False,1,29.8,32.1,46.6,18.2,1559,2916,4475,Saturday,Summer
212,2011-07-31,3,0,7,False,6,False,1,29.9,32.2,48.1,17.8,1524,2778,4302,Sunday,Summer
213,2011-08-01,3,0,8,False,0,True,1,28.3,30.4,55.1,16.9,729,3537,4266,Monday,Summer
214,2011-08-02,3,0,8,False,1,True,1,28.8,30.7,49.1,22.2,801,4044,4845,Tuesday,Summer
215,2011-08-03,3,0,8,False,2,True,2,26.4,28.9,65.8,14.6,467,3107,3574,Wednesday,Summer
216,2011-08-04,3,0,8,False,3,True,2,25.4,27.9,75.8,21.3,799,3777,4576,Thursday,Summer
217,2011-08-05,3,0,8,False,4,True,1,25.4,27.3,63.1,19.9,1023,3843,4866,Friday,Summer
218,2011-08-06,3,0,8,False,5,False,2,25.7,28.6,75.5,24.6,1521,2773,4294,Saturday,Summer
219,2011-08-07,3,0,8,False,6,False,1,26.9,31.2,75.3,21.7,1298,2487,3785,Sunday,Summer
220,2011-08-08,3,0,8,False,0,True,1,28.0,30.4,59.2,20.7,846,3480,4326,Monday,Summer
221,2011-08-09,3,0,8,False,1,True,1,28.4,31.8,57.0,16.3,907,3695,4602,Tuesday,Summer
222,2011-08-10,3,0,8,False,2,True,1,28.0,29.2,42.4,21.6,884,3896,4780,Wednesday,Summer
223,2011-08-11,3,0,8,False,3,True,1,25.7,27.0,42.4,17.8,812,3980,4792,Thursday,Summer
224,2011-08-12,3,0,8,False,4,True,1,25.3,27.2,41.5,13.5,1051,3854,4905,Friday,Summer
225,2011-08-13,3,0,8,False,5,False,2,24.2,26.6,73.0,22.8,1504,2646,4150,Saturday,Summer
226,2011-08-14,3,0,8,False,6,False,2,23.8,25.2,81.8,24.0,1338,2482,3820,Sunday,Summer
227,2011-08-15,3,0,8,False,0,True,1,23.3,24.7,71.2,22.5,775,3563,4338,Monday,Summer
228,2011-08-16,3,0,8,False,1,True,1,24.9,26.6,57.8,25.5,721,4004,4725,Tuesday,Summer
229,2011-08-17,3,0,8,False,2,True,1,26.0,28.0,57.5,15.5,668,4026,4694,Wednesday,Summer
230,2011-08-18,3,0,8,False,3,True,1,25.4,27.7,65.5,25.1,639,3166,3805,Thursday,Summer
231,2011-08-19,3,0,8,False,4,True,2,24.2,25.8,72.3,15.0,797,3356,4153,Friday,Summer
232,2011-08-20,3,0,8,False,5,False,1,24.8,26.8,67.4,11.3,1914,3277,5191,Saturday,Summer
233,2011-08-21,3,0,8,False,6,False,1,25.4,28.6,77.0,26.8,1249,2624,3873,Sunday,Summer
234,2011-08-22,3,0,8,False,0,True,1,24.5,26.1,47.0,29.8,833,3925,4758,Monday,Summer
235,2011-08-23,3,0,8,False,1,True,1,22.1,24.0,45.5,15.8,1281,4614,5895,Tuesday,Summer
236,2011-08-24,3,0,8,False,2,True,1,23.6,25.6,60.5,27.3,949,4181,5130,Wednesday,Summer
237,2011-08-25,3,0,8,False,3,True,2,24.2,26.6,77.2,22.7,435,3107,3542,Thursday,Summer
238,2011-08-26,3,0,8,False,4,True,1,24.9,27.5,76.1,9.1,768,3893,4661,Friday,Summer
239,2011-08-27,3,0,8,False,5,False,2,24.0,25.9,85.0,40.5,226,889,1115,Saturday,Summer
240,2011-08-28,3,0,8,False,6,False,1,25.2,26.8,56.2,32.9,1415,2919,4334,Sunday,Summer
241,2011-08-29,3,0,8,False,0,True,1,21.9,24.1,55.5,17.2,729,3905,4634,Monday,Summer
242,2011-08-30,3,0,8,False,1,True,1,22.0,23.3,54.8,13.5,775,4429,5204,Tuesday,Summer
243,2011-08-31,3,0,8,False,2,True,1,22.9,24.3,59.8,9.0,688,4370,5058,Wednesday,Summer
244,2011-09-01,3,0,9,False,3,True,1,22.8,24.6,63.9,15.3,783,4332,5115,Thursday,Summer
245,2011-09-02,3,0,9,False,4,True,2,22.2,23.9,72.7,15.1,875,3852,4727,Friday,Summer
246,2011-09-03,3,0,9,False,5,False,1,23.5,25.8,71.7,20.0,1935,2549,4484,Saturday,Summer
