instant,Date,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp(°C),atemp,humidity(%),windspeed,Casual,Member,Total_rides,Weekday,Season
138,2011-01-06,1,0,1,23,False,3,True,2,1.4,-3.0,59.0,20.9,4,19,23,Thursday,Winter
139,2011-01-07,1,0,1,0,False,4,True,2,1.4,-3.0,64.0,20.9,4,13,17,Friday,Winter
140,2011-01-07,1,0,1,1,False,4,True,2,1.4,-3.0,69.0,24.1,2,5,7,Friday,Winter
141,2011-01-07,1,0,1,2,False,4,True,2,1.4,-3.0,69.0,24.1,0,1,1,Friday,Winter
142,2011-01-07,1,0,1,4,False,4,True,2,1.4,-2.0,69.0,14.5,0,1,1,Friday,Winter
143,2011-01-07,1,0,1,5,False,4,True,3,2.3,2.0,55.0,0.0,0,5,5,Friday,Winter
144,2011-01-07,1,0,1,6,False,4,True,2,1.4,1.0,69.0,0.0,8,26,34,Friday,Winter
145,2011-01-07,1,0,1,7,False,4,True,1,1.4,-2.0,69.0,14.5,8,76,84,Friday,Winter
146,2011-01-07,1,0,1,8,False,4,True,1,1.4,-3.0,51.0,27.4,20,190,210,Friday,Winter
147,2011-01-07,1,0,1,9,False,4,True,1,1.4,-4.0,47.0,32.2,9,125,134,Friday,Winter
148,2011-01-07,1,0,1,10,False,4,True,1,2.3,-3.0,37.0,35.4,16,47,63,Friday,Winter
149,2011-01-07,1,0,1,11,False,4,True,2,1.4,-3.0,40.0,24.1,19,48,67,Friday,Winter
150,2011-01-07,1,0,1,12,False,4,True,2,1.4,-3.0,37.0,27.4,9,50,59,Friday,Winter
151,2011-01-07,1,0,1,13,False,4,True,2,1.4,-4.0,37.0,30.6,9,64,73,Friday,Winter
152,2011-01-07,1,0,1,14,False,4,True,2,1.4,-3.0,40.0,27.4,7,43,50,Friday,Winter
153,2011-01-07,1,0,1,15,False,4,True,2,1.4,-2.0,37.0,17.7,9,63,72,Friday,Winter
154,2011-01-07,1,0,1,16,False,4,True,2,1.4,-2.0,37.0,17.7,5,82,87,Friday,Winter
155,2011-01-07,1,0,1,17,False,4,True,2,1.4,1.0,37.0,0.0,9,178,187,Friday,Winter
156,2011-01-07,1,0,1,18,False,4,True,1,1.4,-1.0,40.0,9.7,7,116,123,Friday,Winter
157,2011-01-07,1,0,1,19,False,4,True,1,-0.5,-3.0,55.0,9.7,3,92,95,Friday,Winter
158,2011-01-07,1,0,1,20,False,4,True,1,0.5,-2.0,47.0,11.3,1,50,51,Friday,Winter
159,2011-01-07,1,0,1,21,False,4,True,1,0.5,-3.0,47.0,14.5,0,39,39,Friday,Winter
160,2011-01-07,1,0,1,22,False,4,True,2,0.5,-3.0,43.0,17.7,2,34,36,Friday,Winter
161,2011-01-07,1,0,1,23,False,4,True,2,0.5,-3.0,51.0,17.7,1,14,15,Friday,Winter
162,2011-01-08,1,0,1,0,False,5,False,2,0.5,-3.0,51.0,17.7,1,24,25,Saturday,Winter
163,2011-01-08,1,0,1,1,False,5,False,2,0.5,-2.0,55.0,9.7,1,15,16,Saturday,Winter
164,2011-01-08,1,0,1,2,False,5,False,2,0.5,-0.0,55.0,0.0,3,13,16,Saturday,Winter
165,2011-01-08,1,0,1,3,False,5,False,3,0.5,-3.0,55.0,17.7,0,7,7,Saturday,Winter
166,2011-01-08,1,0,1,4,False,5,False,3,0.5,-3.0,55.0,17.7,0,1,1,Saturday,Winter
167,2011-01-08,1,0,1,5,False,5,False,2,-0.5,-5.0,74.0,17.7,0,5,5,Saturday,Winter
168,2011-01-08,1,0,1,6,False,5,False,2,-0.5,-5.0,74.0,17.7,0,2,2,Saturday,Winter
169,2011-01-08,1,0,1,7,False,5,False,2,-0.5,-4.0,74.0,11.3,1,8,9,Saturday,Winter
170,2011-01-08,1,0,1,8,False,5,False,3,-0.5,-4.0,93.0,11.3,0,15,15,Saturday,Winter
171,2011-01-08,1,0,1,9,False,5,False,3,-0.5,-4.0,93.0,11.3,0,20,20,Saturday,Winter
172,2011-01-08,1,0,1,10,False,5,False,2,0.5,-3.0,80.0,17.7,5,56,61,Saturday,Winter
173,2011-01-08,1,0,1,11,False,5,False,2,1.4,-4.0,69.0,41.8,2,60,62,Saturday,Winter
174,2011-01-08,1,0,1,12,False,5,False,2,1.4,-4.0,59.0,38.6,8,90,98,Saturday,Winter
175,2011-01-08,1,0,1,13,False,5,False,1,1.4,-4.0,44.0,35.4,7,95,102,Saturday,Winter
176,2011-01-08,1,0,1,14,False,5,False,1,1.4,-5.0,32.0,53.1,12,83,95,Saturday,Winter
177,2011-01-08,1,0,1,15,False,5,False,1,1.4,-5.0,32.0,48.3,5,69,74,Saturday,Winter
178,2011-01-08,1,0,1,16,False,5,False,1,0.5,-7.0,29.0,48.3,8,68,76,Saturday,Winter
179,2011-01-08,1,0,1,17,False,5,False,1,-0.5,-8.0,37.0,59.5,5,64,69,Saturday,Winter
180,2011-01-08,1,0,1,18,False,5,False,1,-1.4,-8.0,39.0,32.2,3,52,55,Saturday,Winter
181,2011-01-08,1,0,1,19,False,5,False,1,-1.4,-8.0,36.0,27.4,4,26,30,Saturday,Winter
182,2011-01-08,1,0,1,20,False,5,False,1,-2.4,-8.0,36.0,27.4,0,28,28,Saturday,Winter
183,2011-01-08,1,0,1,21,False,5,False,1,-2.4,-9.0,39.0,38.6,2,35,37,Saturday,Winter
184,2011-01-08,1,0,1,22,False,5,False,1,-2.4,-9.0,36.0,41.8,1,33,34,Saturday,Winter
185,2011-01-08,1,0,1,23,False,5,False,1,-3.3,-12.0,39.0,48.3,0,22,22,Saturday,Winter
186,2011-01-09,1,0,1,0,False,6,False,1,-3.3,-11.0,42.0,41.8,1,24,25,Sunday,Winter
187,2011-01-09,1,0,1,1,False,6,False,1,-3.3,-12.0,42.0,49.9,0,12,12,Sunday,Winter
188,2011-01-09,1,0,1,2,False,6,False,1,-3.3,-12.0,46.0,49.9,0,11,11,Sunday,Winter
189,2011-01-09,1,0,1,3,False,6,False,1,-3.3,-11.0,46.0,45.1,0,4,4,Sunday,Winter
190,2011-01-09,1,0,1,4,False,6,False,1,-4.2,-10.0,53.0,20.9,0,1,1,Sunday,Winter
191,2011-01-09,1,0,1,5,False,6,False,1,-4.2,-10.0,53.0,20.9,0,1,1,Sunday,Winter
192,2011-01-09,1,0,1,6,False,6,False,1,-3.3,-10.0,49.0,30.6,0,1,1,Sunday,Winter
193,2011-01-09,1,0,1,7,False,6,False,1,-4.2,-10.0,53.0,20.9,1,5,6,Sunday,Winter
194,2011-01-09,1,0,1,8,False,6,False,1,-3.3,-10.0,49.0,30.6,0,10,10,Sunday,Winter
195,2011-01-09,1,0,1,9,False,6,False,1,-2.4,-11.0,46.0,56.3,0,19,19,Sunday,Winter
196,2011-01-09,1,0,1,10,False,6,False,1,-1.4,-9.0,43.0,41.8,0,49,49,Sunday,Winter
197,2011-01-09,1,0,1,11,False,6,False,1,-0.5,-8.0,40.0,56.3,2,47,49,Sunday,Winter
198,2011-01-09,1,0,1,12,False,6,False,1,0.5,-7.0,37.0,48.3,4,79,83,Sunday,Winter
199,2011-01-09,1,0,1,13,False,6,False,1,1.4,-5.0,34.0,48.3,6,69,75,Sunday,Winter
200,2011-01-09,1,0,1,14,False,6,False,1,2.3,-4.0,32.0,49.9,8,64,72,Sunday,Winter
201,2011-01-09,1,0,1,15,False,6,False,1,2.3,-3.0,35.0,38.6,5,77,82,Sunday,Winter
202,2011-01-09,1,0,1,16,False,6,False,1,1.4,-5.0,34.0,48.3,13,79,92,Sunday,Winter
203,2011-01-09,1,0,1,17,False,6,False,1,0.5,-6.0,37.0,41.8,3,59,62,Sunday,Winter
204,2011-01-09,1,0,1,18,False,6,False,1,-0.5,-7.0,40.0,35.4,4,44,48,Sunday,Winter
205,2011-01-09,1,0,1,19,False,6,False,1,-0.5,-7.0,43.0,35.4,1,40,41,Sunday,Winter
206,2011-01-09,1,0,1,20,False,6,False,1,-1.4,-8.0,46.0,27.4,0,38,38,Sunday,Winter
207,2011-01-09,1,0,1,21,False,6,False,1,-1.4,-9.0,46.0,45.1,1,19,20,Sunday,Winter
208,2011-01-09,1,0,1,22,False,6,False,1,-1.4,-8.0,46.0,32.2,5,10,15,Sunday,Winter
209,2011-01-09,1,0,1,23,False,6,False,1,-2.4,-7.0,50.0,20.9,0,6,6,Sunday,Winter
210,2011-01-10,1,0,1,0,False,0,True,1,-2.4,-8.0,50.0,30.6,2,3,5,Monday,Winter
211,2011-01-10,1,0,1,1,False,0,True,1,-2.4,-8.0,50.0,30.6,1,0,1,Monday,Winter
212,2011-01-10,1,0,1,2,False,0,True,1,-2.4,-8.0,50.0,24.1,0,3,3,Monday,Winter
213,2011-01-10,1,0,1,3,False,0,True,1,-2.4,-8.0,50.0,24.1,0,1,1,Monday,Winter
214,2011-01-10,1,0,1,4,False,0,True,1,-3.3,-8.0,54.0,14.5,1,2,3,Monday,Winter
215,2011-01-10,1,0,1,5,False,0,True,1,-3.3,-9.0,54.0,27.4,0,3,3,Monday,Winter
216,2011-01-10,1,0,1,6,False,0,True,1,-2.4,-8.0,50.0,30.6,0,31,31,Monday,Winter
217,2011-01-10,1,0,1,7,False,0,True,1,-2.4,-8.0,50.0,24.1,2,75,77,Monday,Winter
218,2011-01-10,1,0,1,8,False,0,True,2,-2.4,-8.0,50.0,30.6,4,184,188,Monday,Winter
219,2011-01-10,1,0,1,9,False,0,True,2,-1.4,-8.0,50.0,27.4,2,92,94,Monday,Winter
220,2011-01-10,1,0,1,10,False,0,True,2,-1.4,-8.0,50.0,32.2,0,31,31,Monday,Winter
221,2011-01-10,1,0,1,11,False,0,True,2,-0.5,-7.0,47.0,30.6,2,28,30,Monday,Winter
222,2011-01-10,1,0,1,12,False,0,True,2,1.4,-4.0,40.0,30.6,5,47,52,Monday,Winter
223,2011-01-10,1,0,1,13,False,0,True,2,1.4,-4.0,40.0,30.6,4,50,54,Monday,Winter
224,2011-01-10,1,0,1,14,False,0,True,2,1.4,-3.0,40.0,24.1,0,47,47,Monday,Winter
225,2011-01-10,1,0,1,15,False,0,True,2,1.4,-3.0,40.0,24.1,2,43,45,Monday,Winter
226,2011-01-10,1,0,1,16,False,0,True,1,1.4,-2.0,40.0,14.5,4,70,74,Monday,Winter
227,2011-01-10,1,0,1,17,False,0,True,1,1.4,-1.0,40.0,11.3,4,174,178,Monday,Winter
228,2011-01-10,1,0,1,18,False,0,True,1,1.4,-3.0,40.0,24.1,1,154,155,Monday,Winter
229,2011-01-10,1,0,1,19,False,0,True,1,-0.5,-5.0,47.0,17.7,3,92,95,Monday,Winter
230,2011-01-10,1,0,1,20,False,0,True,1,-0.5,-5.0,50.0,17.7,1,73,74,Monday,Winter
231,2011-01-10,1,0,1,21,False,0,True,1,-1.4,-7.0,59.0,20.9,1,37,38,Monday,Winter
232,2011-01-10,1,0,1,22,False,0,True,1,-1.4,-6.0,59.0,17.7,2,22,24,Monday,Winter
233,2011-01-10,1,0,1,23,False,0,True,1,-1.4,-6.0,59.0,17.7,0,18,18,Monday,Winter
234,2011-01-11,1,0,1,0,False,1,True,1,-1.4,-5.0,59.0,11.3,2,10,12,Tuesday,Winter
235,2011-01-11,1,0,1,1,False,1,True,1,-1.4,-6.0,59.0,17.7,0,3,3,Tuesday,Winter
236,2011-01-11,1,0,1,2,False,1,True,2,-0.5,-6.0,55.0,20.9,0,3,3,Tuesday,Winter
237,2011-01-11,1,0,1,5,False,1,True,2,-0.5,-4.0,55.0,14.5,0,6,6,Tuesday,Winter
238,2011-01-11,1,0,1,6,False,1,True,2,-0.5,-4.0,55.0,14.5,0,27,27,Tuesday,Winter
239,2011-01-11,1,0,1,7,False,1,True,2,-0.5,-1.0,55.0,0.0,2,97,99,Tuesday,Winter
240,2011-01-11,1,0,1,8,False,1,True,2,0.5,-2.0,51.0,9.7,3,214,217,Tuesday,Winter
241,2011-01-11,1,0,1,9,False,1,True,2,0.5,-3.0,51.0,17.7,3,127,130,Tuesday,Winter
242,2011-01-11,1,0,1,10,False,1,True,2,1.4,-2.0,51.0,17.7,3,51,54,Tuesday,Winter
243,2011-01-11,1,0,1,11,False,1,True,2,1.4,-2.0,47.0,14.5,4,31,35,Tuesday,Winter
